Label,Indications-extracted,indications-normalized,What Changed
CV 14,"Pain in the cardiac region and the chest, nausea, acid regurgitation, difficulty in swallowing, vomiting, mental disorders, epilepsy, palpitation.","pain in the cardiac region, pain in the chest, nausea, acid regurgitation, difficulty in swallowing, vomiting, mental disorder, epilepsy, palpitation",Removed trailing period; split 'pain in the cardiac region and the chest' into separate items.
CV 15,"Pain in the cardiac region and the chest, nausea, mental disorders, epilepsy.","pain in the cardiac region, pain in the chest, nausea, mental disorder, epilepsy",Removed trailing period; split 'pain in the cardiac region and the chest' into separate items.
CV 16,"Distension and fullness in the chest and intercostal region, hiccup, nausea, anorexia.","distension in the chest, distension in the intercostal region, fullness in the chest, fullness in the intercostal region, hiccup, nausea, anorexia",Removed trailing period; split 'distension and fullness in the chest and intercostal region' into separate condition/location combinations.
CV 17,"Asthma, pain in the chest, fullness in the chest, palpitation, insufficient lactation, hiccup, difficulty in swallowing.","asthma, pain in the chest, fullness in the chest, palpitation, insufficient lactation, hiccup, difficulty in swallowing",Removed trailing period.
CV 18,"pain in the chest, cough, asthma, vomiting.","pain in the chest, cough, asthma, vomiting",Removed trailing period.
CV 19,"Pain in the chest, asthma, cough.","pain in the chest, asthma, cough",Removed trailing period.
CV 20,"Pain and fullness in the chest and intercostal region, asthma, cough.","pain in the chest, pain in the intercostal region, fullness in the chest, fullness in the intercostal region, asthma, cough",Removed trailing period; split 'pain and fullness in the chest and intercostal region' into separate condition/location combinations.
CV 21,"Pain in the chest, cough, asthma.","pain in the chest, cough, asthma",Removed trailing period.
CV 22,"Asthma, cough, sore throat, dry throat, hiccup, sudden hoarseness of the voice, difficulty in swallowing, goiter.","asthma, cough, sore throat, dry throat, hiccup, sudden hoarseness of the voice, difficulty in swallowing, goiter",Removed trailing period.
CV 23,"Swelling and pain of the subglossal region, salivation with glossoplegia, aphasia with stiffness of tongue by apoplexy, sudden hoarseness of the voice, difficulty in swallowing.","swelling of the subglossal region, pain in the subglossal region, salivation with glossoplegia, aphasia with stiffness of tongue by apoplexy, sudden hoarseness of the voice, difficulty in swallowing",Removed trailing period; split 'swelling and pain of the subglossal region' into separate items.
CV 24,"Facial puffiness, swel1ing of the gums, toothache, salivation, mental disorders, deviation of the eyes and mouth.","facial puffiness, swelling of the gums, toothache, salivation, mental disorder, deviation of the eye, deviation of the mouth",Removed trailing period; split 'deviation of the eye and mouth' into separate items.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
