"Artcle-URI","Article-Title","Condition-Extracted-Western","Normalized-Condition-Western","Condition-Extracted-TCM","Normalized-Condition-TCM","Comment from TEAM-Core","MONDO-OR-HP-Term","Exact-OR-Synonym","MONDO-OR-HP-Term-URI","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.7861/clinmedicine.6-4-381","Systematic review of systematic reviews of acupuncture","Painful conditions (including fibromyalgia, tension headache, migraine), stroke, nausea and vomiting, depression, insomnia, smoking cessation, weight loss, asthma","Painful conditions (including fibromyalgia, tension headache, migraine), stroke, nausea and vomiting, depression, insomnia, smoking cessation, weight loss, asthma","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"10.22454/FamMed.2020.179585","Longitudinal Study of Well-Being, Burnout and Emotional Intelligence in Family Medicine Residents","Not specified (the study focuses on burnout and well being rather than a specific Western medical condition or disease)","Physicians","Not specified (the paper does not mention a specific TCM disease or condition)","Not specified (the paper does not mention a specific TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/https://doi.org/10.1179/108331903225003190","Biofeedback, Acupuncture and Transcutaneous Electric Nerve Stimulation in the Management of Temperomandibular Disorders: A Systematic Review","Temporomandibular disorders (TMD)","Temporomandibular disorders (TMD)","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","Not specified (the paper does not mention any Traditional Chinese Medicine (TCM) terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://journals.sagepub.com/doi/10.1136/aim.2011.004085","Acupuncture for hot flushes in perimenopausal and postmenopausal women: a randomised, shamcontrolled trial","Hot fl ushes in perimenopausal and postmenopausal women","Hot fl ushes in perimenopausal and postmenopausal women","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://link.springer.com/article/10.1007/s11655-011-0875-z","Clinical Evaluation of Soothing Gan (肝) and Invigorating Pi (脾) Acupuncture Treatment on Diarrhea predominant Irritable Bowel Syndrome","Diarrhea predominant irritable bowel syndrome (IBS D)","Diarrhea predominant irritable bowel syndrome (IBS D)","Gan (肝) stagnancy Pi (脾) deficiency syndrome; Xiexie (泄泻, diarrhea)","Gan (肝) stagnancy Pi (脾) deficiency syndrome; Xiexie (泄泻, diarrhea)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10024707.0/","A single blind, placebo controlled trial of a simple acupuncture treatment in the cessation of smoking","Tobacco smoking","Tobacco smoking","Not specified (the paper does not mention TCM terminology or conditions)","Not specified (the paper does not mention TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10086765.0/","Is Acupuncture Effective in the Treatment of Fibromyalgia?","Fibromyalgia syndrome (FMS)","Fibromyalgia syndrome (FMS)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine (TCM) terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine (TCM) terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10427802.0/","Acupuncture in the treatment of posttraumatic pain syndrome","Complex Regional Pain Syndrome (CRPS), also known as Reflex Sympathetic Dystrophy (RSD)","Complex Regional Pain Syndrome (CRPS), also known as Reflex Sympathetic Dystrophy (RSD)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine (TCM) terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine (TCM) terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10437184.0/","Does psychological testing help to predict the response to acupuncture or massage/relaxation therapy in patients presenting to a general neurology clinic with headache?","Chronic headache (including tension type headaches and migraines)","Chronic headache (including tension type headaches and migraines)","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10437209.0/","Observation on therapeutic effects of blood-letting puncture with cupping in acute trigeminal neuralgia","Trigeminal neuralgia","Trigeminal neuralgia","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10437260.0/","Clinical study on acupuncture treatment of stomach carcinoma pain","Stomach carcinoma pain","Stomach carcinoma pain","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10437262.0/","A clinical observation on coronary heart disease treated by otopuncture at heart otopoint","Coronary Heart Disease","Coronary Heart Disease","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10513096.0/","A Comparative Study on the Treatment of Migraine Headache With Combined Distant and Local Acupuncture Points Versus Conventional Drug Therapy","Migraine Headache","Migraine Headache","Migraine Headache","","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10681867.0/","Observation of the efficacy of acupuncture and moxibustion in 62 cases of chronic colitis","Chronic colitis (also known as ulcerative colitis)","Chronic colitis (also known as ulcerative colitis)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10729968.0/","TENS, Electroacupuncture and Ice Massage: Comparison of Treatment for Osteoarthritis of the Knee","Osteoarthritis (OA) of the knee","Osteoarthritis (OA) of the knee","Not specified (the paper does not mention any Traditional Chinese Medicine terminology or conditions)","Not specified (the paper does not mention any Traditional Chinese Medicine terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10748959.0/","Acupuncture and Chronic Pain Management","Chronic Pain","Chronic Pain","Not specified (the paper does not explicitly state the primary medical condition, disease, or symptom in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly state the primary medical condition, disease, or symptom in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10830757.0/","A prospective randomized study comparing acupuncture with physiotherapy for low back and pelvic pain in pregnancy","Low back and pelvic pain during pregnancy (LBP)","Low back and pelvic pain during pregnancy (LBP)","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10921134.0/","Treatment of 50 cases of senile dementia by acupuncture combined with inhalation of herbal drugs and oxygen","Senile dementia","Senile dementia","Not specified (the paper does not provide a specific TCM term for the condition)","Not specified (the paper does not provide a specific TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10921148.0/","The third lumbar transverse process syndrome treated by electroacupuncture at Huatuojiaji points","The third lumbar transverse process syndrome","The third lumbar transverse process syndrome","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10921166.0/","Acupuncture Treatment of Bulbar PalsyA Report of 54 Cases","Bulbar palsy with cerebrovascular accident","Bulbar palsy with cerebrovascular accident","Not specified (the paper describes the pathogenesis and symptoms in TCM terms but does not explicitly state a specific TCM disease or condition name)","Not specified (the paper describes the pathogenesis and symptoms in TCM terms but does not explicitly state a specific TCM disease or condition name)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10979160.0/","Acupuncture for symptom relief in HIV positive adults: Lessons learned from a pilot study","HIV disease","HIV disease","Not specified (the paper does not explicitly state a primary TCM disease or condition being studied)","Not specified (the paper does not explicitly state a primary TCM disease or condition being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11038990.0/","Comparison of Pharmacological Treatment Versus Acupuncture Treatment for Migraine Without AuraAnalysis of Socio medical Parameters","Migraine without aura","Migraine without aura","Not specified (the paper does not provide the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not provide the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11039005.0/","Auricular Plast er Therapy Plus Acupuncture at Zusanli for Postoperative Recovery of Intestinal Function","Postoperative gastrointestinal dysfunction","Postoperative gastrointestinal dysfunction","Not specified (the paper does not provide TCM terminology for the conditions being studied)","Not specified (the paper does not provide TCM terminology for the conditions being studied)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11199620.0/","Acupuncture/acupressure to treat gagging dental patients: A clinical study of anti gagging effects","Gag reflex","Gag reflex","Not specified (the paper focuses on the symptom of gagging rather than a specific TCM disease or condition)","Not specified (the paper focuses on the symptom of gagging rather than a specific TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11263278.0/","Acupuncture Treatment of Parkinson's Disease A Report of 29 Cases","Parkinson's disease","Parkinson's disease","Not specified (the paper does not mention the disease or condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not mention the disease or condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11263283.0/","Twenty One Cases of Vertebral Artery Type Cervical Spondylosis Treated with Acupuncture","Vertebral artery type cervical spondylosis","Vertebral artery type cervical spondylosis","Not specified (the paper does not provide a TCM term or diagnosis for the condition)","Not specified (the paper does not provide a TCM term or diagnosis for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11263285.0/","Twenty five Cases of Intractable Cutaneous Pruritus Treated by Auricular Acupuncture","Intractable cutaneous pruritus","Intractable cutaneous pruritus","Not specified (the paper discusses intractable cutaneous pruritus as a symptom and its treatment principles in TCM terms, but does not specify a primary TCM disease or condition)","Not specified (the paper discusses intractable cutaneous pruritus as a symptom and its treatment principles in TCM terms, but does not specify a primary TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11360530.0/","Forty five Cases of Apoplexy Treated by Electroacupuncture at the Points of Yin Meridians","Apoplexy (stroke or cerebral hemorrhage)","Apoplexy (stroke or cerebral hemorrhage)","Apoplexy","Apoplexy","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11360535.0/","Treatment of 482 Cases of Cervical Spondylopathy by Combining Point injection and Needle warming via Moxibustion","Cervical spondylopathy","Cervical spondylopathy","cervical spondylopathy","","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11452568.0/","Clinical decisions in the use of acupuncture as an adjunctive therapy for osteoarthritis of the knee","Osteoarthritis of the knee","Osteoarthritis of the knee","Bi syndrome","Bi syndrome","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11498896.0/","Clinical Study on Treatment of Senile Vascular Dementia by Acupuncture","Senile vascular dementia","Senile vascular dementia","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11789327.0/","Clinical Observation on Abdominal Cluster Needling for Treatment of Chronic Annexitis","Chronic annexitis","Chronic annexitis","Chronic annexitis due to stagnation of the liver qi, phlegm dampness, blood stasis, and accumulation of pathogenic cold","Chronic annexitis due to stagnation of the liver qi, phlegm dampness, blood stasis, and accumulation of pathogenic cold","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11802511.0/","Acupuncture for cervical ripening and induction of labor at terma randomized controlled trial","Cervical ripening and induction of labor at term","Cervical ripening and induction of labor at term","Not specified (the paper does not explicitly state the condition in TCM terminology)","Not specified (the paper does not explicitly state the condition in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11889662.0/","Acupuncture and Sham Acupuncture Reduce Muscle Pain in Myofascial Pain Patients","Myofascial pain of the jaw muscles","Myofascial pain of the jaw muscles","Not specified (the paper does not provide a specific TCM term for the condition)","Not specified (the paper does not provide a specific TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11977515.0/","Acupuncture Treatment for 32 cases of Uremic Cutaneous Pruritus","Pruritus (itching)","Pruritus (itching)","Not specified (the paper does not explicitly state the TCM term for the condition, but it implies imbalances in yin and yang)","Not specified (the paper does not explicitly state the TCM term for the condition, but it implies imbalances in yin and yang)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11977526.0/","Advances in Experimental Studies on Treatment of Psoriasis by Traditional Chinese Medicine","Psoriasis","Psoriasis","Psoriasis","","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/11977530.0/","The Effect of Acupuncture on Bone Mineral Density in Postmenopausal Women","Osteoporosis","Osteoporosis","Kidney deficiency leading to bone issues (osteoporosis)","Kidney deficiency leading to bone issues (osteoporosis)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12014128.0/","The Effect of Electro-Acupuncture on Motor Function Recovery in Patients with Acute Cerebral Infarction: A Randomly Controlled Trial","Cerebral Infarction (Stroke)","Cerebral Infarction (Stroke)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12125480.0/","Study on Cytokines IL 2, IL 6, IL 10 in Patients of Chronic Allergic Rhinitis Treated with Acupuncture","Perennial rhinitis (allergic rhinitis)","Perennial rhinitis (allergic rhinitis)","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12376307.0/","Clinical Observation of Treating 78 cases of Wind Stroke with Five Center Needling","Wind stroke","Stroke","Wind stroke","Wind stroke","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12400423.0/","Observation on the Therapeutic Effects of Acupuncture for 60 Cases of Simple Obesity","Simple obesity","Simple obesity","Not specified (the paper does not provide a TCM specific term for the condition)","Not specified (the paper does not provide a TCM specific term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12400431.0/","Treatment of Retinal Vein Obstruction with Acupuncture and Chinese Medicinal Herbs","Retinal vein obstruction","Retinal vein obstruction","Not specified (the paper does not explicitly state the TCM term for the condition)","Not specified (the paper does not explicitly state the TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12596615.0/","The Effect of Acupuncture on the Acute Withdrawal Symptoms from Rapid Opiate Detoxification","Withdrawal symptoms associated with rapid opiate detoxification","Withdrawal symptoms associated with rapid opiate detoxification","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12747200.0/","Acupuncture Treatment of Facial Paralysis Caused by Craniocerebral Trauma in 50 Cases","Facial paralysis caused by craniocerebral trauma (cerebral contusion, intracranial hematoma)","Facial paralysis caused by craniocerebral trauma (cerebral contusion, intracranial hematoma)","Not specified (the paper describes the condition in terms of TCM principles but does not provide a specific TCM name for the condition)","Not specified (the paper describes the condition in terms of TCM principles but does not provide a specific TCM name for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12747204.0/","Acupuncture Treatment for 157 Cases of Anxiety Neurosis","Anxiety neurosis","Anxiety neurosis","Not specified (the paper describes symptoms and treatment strategies related to heart and kidney functions but does not explicitly state a TCM disease or condition name)","Not specified (the paper describes symptoms and treatment strategies related to heart and kidney functions but does not explicitly state a TCM disease or condition name)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12747205.0/","Treatment of Phlegmand Heat induced Insomnia by Acupuncture in 120 Cases","Insomnia","Insomnia","Insomnia due to interior stirring by phlegm heat","Insomnia due to interior stirring by phlegm heat","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12855628.0/","A Randomized Controlled Single Blind Chemotherapy and Autologous Peripheral Blood Stem Cell at P6 as Additional Antiemetic Prophylaxis in High Dose Effect of Acupuncture Compared with Placebo Acupuncture","Nausea and vomiting associated with high dose chemotherapy and autologous peripheral blood stem cell transplantation.","Nausea and vomiting associated with high dose chemotherapy and autologous peripheral blood stem cell transplantation.","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12875072.0/","Treatment of Sprain by Electro-Acupuncture","Sprain","Sprain","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/12875073.0/","Acupuncture and Blood letting for 30 Cases of Rheumatic Gonitis","Rheumatic gonitis","Rheumatic gonitis","Not specified (the paper does not explicitly state the disease/condition in TCM terminology)","Not specified (the paper does not explicitly state the disease/condition in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14535181.0/","Clinical Observation on Treatment of Acquired Paralytic Strabismus by Acupuncture Plus Oral Administration of Chinese Herbs","Acquired paralytic strabismus","Acquired paralytic strabismus","Acquired paralytic strabismus associated with wind invasion, wind phlegm, endogenous wind, and blood stagnation","Acquired paralytic strabismus associated with wind invasion, wind phlegm, endogenous wind, and blood stagnation","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14535189.0/","Two hundred and Ten Cases of Shoulder Periarthritis Treated by Needling Lingxia and Sanjian","Shoulder Periarthritis","Shoulder Periarthritis","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/1455324.0/","Acupuncture and occlusal splint therapy in the treatment of craniomandibular disorders","Craniomandibular disorders (CMD)","Craniomandibular disorders (CMD)","Not specified (the paper does not explicitly use TCM terminology)","Not specified (the paper does not explicitly use TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/1455324.0/","Acupuncture and occlusal splint therapyin the treatment of craniomandibular disorders","Craniomandibular disorders (CMD)","Craniomandibular disorders (CMD)","Not specified (the paper does not explicitly mention TCM terminology or conditions)","Not specified (the paper does not explicitly mention TCM terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14660810.0/","Effect of adding a Chinese herbal preparation to acupuncture for seasonal allergic rhinitis: randomised doubleblind controlled trial","Seasonal allergic rhinitis","Seasonal allergic rhinitis","Not specified (the paper does not explicitly mention a TCM disease or condition name)","Not specified (the paper does not explicitly mention a TCM disease or condition name)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14687469.0/","PET imaging of brain function while puncturing the acupoint ST36","Not specified (the study involves healthy volunteers and focuses on the effects of acupuncture on brain function)","Healthy Volunteers","Not specified (the paper does not explicitly mention a primary medical condition, disease, or symptom being studied according to TCM terminology)","Not specified (the paper does not explicitly mention a primary medical condition, disease, or symptom being studied according to TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14687475.0/","Effects of acupoints TENS on heat pain threshold in normal subjects","Not specified (the paper does not explicitly mention a specific disease or condition)","Experimental pain, Healthy volunteers","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14695986.0/","Effects of acupuncture and moxa treatment in patients with semen abnormalities","Oligoastenoteratozoospermia","Oligoastenoteratozoospermia","Not specified (the paper does not explicitly state the condition in TCM terminology)","Not specified (the paper does not explicitly state the condition in TCM terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14719295.0/","Clinical Study on Therapeutic Effect of Acupuncture on Behcet's Disease","Behcet's Disease","Behcet's Disease","Not specified (the paper does not provide a TCM term for Behcet's disease)","Not specified (the paper does not provide a TCM term for Behcet's disease)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14719298.0/","Acupuncture Treatment of Chronic Superficial Gastritis by the Eight Methods of Intelligent Turtle","Chronic superficial gastritis","Chronic superficial gastritis","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14719299.0/","Juvenile Myasthenia Laryngis Treated by Acupuncture and TCM Medication","Myasthenia laryngis (laryngoparalysis)","Myasthenia laryngis (laryngoparalysis)","Not specified (the paper does not explicitly state the TCM term for the condition)","Not specified (the paper does not explicitly state the TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14719300.0/","The Therapeutic Effects of Triple Puncture and Routine Body Needling for Cervical Spondylosis","Cervical spondylosis","Cervical spondylosis","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14719302.0/","Observation on Acupuncture Treatment of Ischemic Apoplexy by Nourishing the Kidney and Regulating the Du Channel","Ischemic apoplexy (stroke)","Ischemic apoplexy (stroke)","Not specified (the paper does not explicitly state a TCM disease or condition name, but it implies treatment for kidney and Du channel imbalances)","Not specified (the paper does not explicitly state a TCM disease or condition name, but it implies treatment for kidney and Du channel imbalances)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/14719303.0/","Effects of Magnetic Needle Acupuncture on Blood Pressure and Plasma ET 1 Level in the Patient of Hypertension","Hypertension","Hypertension","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/15119162.0/","The Effects of Acupuncture in Treatment of Coronary Heart Diseases","Angina pectoris and acute myocardial infarct","Angina pectoris and acute myocardial infarct","Not specified (the paper does not explicitly state the TCM terminology for the conditions)","Not specified (the paper does not explicitly state the TCM terminology for the conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/15119166.0/","Treatment of Pseudobulbar Paralysis by Scalp Acupuncture and Sublingual Needling","Pseudobulbar paralysis due to cerebral infarction or cerebral hemorrhage","Pseudobulbar paralysis due to cerebral infarction or cerebral hemorrhage","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/1511917.0/","Frequent Ventricular Extrasystole Treated by Needling Neiguan (PC 6) plus Oral Administration of Mexiletine — A Report of 30 Cases","Frequent ventricular extrasystole","Frequent ventricular extrasystole","Not specified (the paper does not explicitly mention the disease/condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the disease/condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/15498373.0/","Efficacy of acupuncture and moxibustion in treating Bell' s palsy : a multicenter randomized controlled trial in China","Bell's palsy (idiopathic facial paralysis)","Bell's palsy (idiopathic facial paralysis)","Not specified (the paper does not provide a specific TCM term for Bell's palsy)","Not specified (the paper does not provide a specific TCM term for Bell's palsy)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/15498373.0/","Efficacy of acupuncture and moxibustion in treating Bell' s palsy : a multicenter randomized controlled trial in China","Bell's palsy (idiopathic facial paralysis)","Bell's palsy (idiopathic facial paralysis)","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/15510787.0/","Clinical Observation Clinical Observation on Acupuncture Treatment in 35 Cases of Diabetic Gastroparesis","Diabetic Gastroparesis","Diabetic Gastroparesis","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/15510795.0/","Clinical Analysis for the Acupuncture Treatment in 42 Cases of Gouty Renal Damage","Gouty renal damage","Gouty renal damage","Not specified (the paper does not explicitly state the disease/condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly state the disease/condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/15510807.0/","Effects of Acupuncture on Hemorheology, Blood Lipid Content and Nail Fold Microcirculation in Multiple Infarct Dementia Patients","Multiple Infarct Dementia (MID)","Multiple Infarct Dementia (MID)","Kidney deficiency leading to phlegm stasis and brain dysfunction","Kidney deficiency leading to phlegm stasis and brain dysfunction","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/15889513.0/","Electro acupuncture Treatment for the Upper Segment Ureterolithiasis Under B Ultrasonography","Ureterolithiasis","Ureterolithiasis","Not specified (the paper does not provide a specific TCM term for the condition)","Not specified (the paper does not provide a specific TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/15921471.0/","Effects of Acupuncture Versus Ultrasound in Patients With Impingement Syndrome: Randomized Clinical Trial","Impingement syndrome","Impingement syndrome","Not specified (the paper does not provide a TCM equivalent or description for impingement syndrome)","Not specified (the paper does not provide a TCM equivalent or description for impingement syndrome)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16136930.0/","Clinical Observation Ulcerative Colitis Treated by Acupuncture at Jiaji Points (EX B2) and Tapping with Plum blossom Needle at Sanjiaoshu (BL22) and Dachangshu (BL 25)A Report of 43 Cases","Ulcerative colitis (UC)","Ulcerative colitis (UC)","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16136932.0/","Acupuncture Treatment of Simple Obesity","Simple Obesity","Simple Obesity","Simple Obesity; Heat Excess Type in the Stomach and Intestine (HE); Stagnancy of Dampness due to Deficiency Spleen (DS); Insufficiency of Kidney (KQI); Stagnancy of Gi of the Liv (LQS)","Simple Obesity; Heat Excess Type in the Stomach and Intestine (HE); Stagnancy of Dampness due to Deficiency Spleen (DS); Insufficiency of Kidney (KQI); Stagnancy of Gi of the Liv (LQS)","","","","","","","","","","","","","","","","","","","","","","",""
